72.5,171,-36.662609,-33.602516,-1.118288,-3.840499,-0.607668,-1.90545,-0.000222491,3
73,171,-37.221752,-35.522766,-1.138785,-3.834471,-0.610224,-1.90463,-0.000225937,3
73.5,171,-37.791145,-37.440002,-1.155737,-3.829396,-0.611658,-1.90417,-0.000229429,3
74,171,-38.369015,-39.354702,-1.169479,-3.825222,-0.612148,-1.90402,-0.000232969,3
74.5,171,-38.953754,-41.267311,-1.180344,-3.821883,-0.611855,-1.90411,-0.000236554,3
75,171,-39.543926,-43.178253,-1.231161,-3.805817,-0.716121,-1.8674,-0.000240187,3
75.5,171,-40.159508,-45.081161,-1.338102,-3.769547,-0.877587,-1.79718,-0.000243866,3
76,171,-40.828560,-46.965935,-1.526925,-3.697093,-1.12144,-1.65601,-0.000247591,3
76.5,171,-41.592022,-48.814480,-1.848215,-3.547408,-1.4923,-1.33156,-0.000251363,3
77,171,-42.516129,-50.588184,-2.370410,-3.221980,-1.92428,-0.545127,-0.000255182,3
77.5,171,-43.701332,-52.199173,-3.022034,-2.620556,-1.86881,0.712418,-0.000259047,3
78,171,-45.212349,-53.509453,-3.568814,-1.806535,-1.28929,1.52896,-0.000262959,3
78.5,171,-46.996758,-54.412720,-3.872385,-0.853726,-0.607142,1.90562,-0.000266917,3
79,171,-48.932949,-54.839584,-3.998202,0.119904,-0.432464,1.95268,-0.000270922,3
79.5,171,-50.932049,-54.779633,-3.862104,1.041226,-0.252237,1.98403,-0.000274968,3
80,171,-52.863102,-54.259018,-3.544525,1.853737,-0.0788614,1.99844,-0.000279051,3
80.5,171,-54.635365,-53.332150,-3.103100,2.524039,0.0738526,1.99864,-0.000283164,3
81,171,-56.186916,-52.070129,-2.596776,3.042492,0.199125,1.99006,-0.000287302,3
81.5,171,-57.485306,-50.548885,-2.076801,3.418610,0.295248,1.97809,-0.000291461,3
82,171,-58.523705,-48.839581,-1.581558,3.674054,0.363839,1.96663,-0.000295636,3
82.5,171,-59.314484,-47.002552,-1.135473,3.835453,0.408098,1.95792,-0.000299824,3
83,171,-59.882221,-45.084824,-0.750897,3.928887,0.431631,1.95287,-0.000304021,3
83.5,171,-60.257671,-43.120380,-0.431326,3.976677,0.437842,1.95149,-0.000308226,3
84,171,-60.473335,-41.132042,-0.174645,3.996186,0.429702,1.95329,-0.00031243,3
84.5,171,-60.560658,-39.133949,0.024294,3.999926,0.409723,1.95758,-0.000316634,3
85,171,-60.548512,-37.133987,0.171914,3.996304,0.380021,1.96356,-0.000320838,3
85.5,171,-60.462555,-35.135834,0.274858,3.990546,0.342402,1.97047,-0.000325043,3
86,171,-60.325127,-33.140560,0.339442,3.985571,0.298444,1.97761,-0.000329247,3
86.5,171,-60.155407,-31.147774,0.371427,3.982718,0.249563,1.98437,-0.000333451,3
87,171,-59.969692,-29.156414,0.375964,3.982292,0.197055,1.99027,-0.000337655,3
87.5,171,-59.781712,-27.165268,0.357637,3.983980,0.142125,1.99494,-0.00034186,3
88,171,-59.602894,-25.173279,0.320522,3.987138,0.0858919,1.99815,-0.000346064,3
88.5,171,-59.442635,-23.179710,0.268265,3.990994,0.0293891,1.99978,-0.000350268,3
89,171,-59.308502,-21.184214,0.204138,3.994788,-0.0264476,1.99983,-0.000354472,3
89.5,171,-59.206432,-19.186819,0.131080,3.997852,-0.0807949,1.99837,-0.000358676,3
90,171,-59.140892,-17.187893,0.051725,3.999665,-0.132949,1.99558,-0.000362881,3
90.5,171,-59.115028,-15.188060,-0.031583,3.999875,-0.182339,1.99167,-0.000367085,3
91,171,-59.130821,-13.188122,-0.116783,3.998295,-0.228526,1.9869,-0.000371289,3
91.5,171,-59.189213,-11.188974,-0.202089,3.994892,-0.271197,1.98153,-0.000375493,3
92,171,-59.290257,-9.191528,-0.285990,3.989763,-0.310164,1.9758,-0.000379698,3
92.5,171,-59.433250,-7.196647,-0.367235,3.983107,-0.345344,1.96996,-0.000383902,3
93,171,-59.616867,-5.205093,-0.444825,3.975189,-0.376747,1.9642,-0.000388106,3
93.5,171,-59.839279,-3.217499,-0.517995,3.966319,-0.404456,1.95868,-0.00039231,3
94,171,-60.098278,-1.234339,-0.586191,3.956815,-0.428619,1.95353,-0.000396514,3
94.5,171,-60.391373,0.744068,-0.649052,3.946990,-0.449425,1.94885,-0.000400719,3
95,171,-60.715900,2.717563,-0.706380,3.937135,-0.467098,1.94469,-0.000404923,3
95.5,171,-61.069092,4.686130,-0.758118,3.927500,-0.481879,1.94108,-0.000409127,3
96,171,-61.448151,6.649880,-0.804326,3.918298,-0.494022,1.93803,-0.000413331,3
96.5,171,-61.850315,8.609030,-0.845159,3.909694,-0.503785,1.93551,-0.000417536,3
97,171,-62.272896,10.563877,-0.880843,3.901809,-0.511421,1.93351,-0.000421744,3
97.5,171,-62.713318,12.514782,-0.911660,3.894724,-0.517179,1.93197,-0.000425958,3
98,171,-63.169147,14.462144,-0.937931,3.888481,-0.521295,1.93087,-0.000430177,3
98.5,171,-63.638115,16.406384,-0.960004,3.883091,-0.523991,1.93014,-0.000434402,3
99,171,-64.118118,18.347929,-0.978237,3.878537,-0.525477,1.92973,-0.000438632,3
99.5,171,-64.607239,20.287197,-0.992996,3.874785,-0.525944,1.92961,-0.000442868,3
100,171,-65.103737,22.224590,-1.004643,3.871782,-0.52557,1.92971,-0.000447109,3
