Road Traffic, Scenario = 1, Dally = 0.00, Trials = 100
trial=  50, traffic density= 0.10, mean velocity= 2.59, flow rate= 0.52
trial=  51, traffic density= 0.10, mean velocity= 2.66, flow rate= 0.52
trial=  52, traffic density= 0.10, mean velocity= 2.52, flow rate= 0.53
trial=  53, traffic density= 0.10, mean velocity= 2.77, flow rate= 0.53
trial=  54, traffic density= 0.10, mean velocity= 2.69, flow rate= 0.55
trial=  55, traffic density= 0.10, mean velocity= 2.54, flow rate= 0.53
trial=  56, traffic density= 0.10, mean velocity= 2.50, flow rate= 0.51
trial=  57, traffic density= 0.10, mean velocity= 2.62, flow rate= 0.53
trial=  58, traffic density= 0.10, mean velocity= 2.61, flow rate= 0.52
trial=  59, traffic density= 0.10, mean velocity= 2.64, flow rate= 0.51
trial=  60, traffic density= 0.10, mean velocity= 2.58, flow rate= 0.49
trial=  61, traffic density= 0.10, mean velocity= 2.55, flow rate= 0.51
trial=  62, traffic density= 0.10, mean velocity= 2.67, flow rate= 0.54
trial=  63, traffic density= 0.10, mean velocity= 2.57, flow rate= 0.49
trial=  64, traffic density= 0.10, mean velocity= 2.63, flow rate= 0.54
trial=  65, traffic density= 0.10, mean velocity= 2.71, flow rate= 0.54
trial=  66, traffic density= 0.10, mean velocity= 2.79, flow rate= 0.54
trial=  67, traffic density= 0.10, mean velocity= 2.70, flow rate= 0.54
trial=  68, traffic density= 0.10, mean velocity= 2.63, flow rate= 0.55
trial=  69, traffic density= 0.10, mean velocity= 2.57, flow rate= 0.48
trial=  70, traffic density= 0.10, mean velocity= 2.68, flow rate= 0.52
trial=  71, traffic density= 0.10, mean velocity= 2.65, flow rate= 0.54
trial=  72, traffic density= 0.10, mean velocity= 2.77, flow rate= 0.56
trial=  73, traffic density= 0.10, mean velocity= 2.58, flow rate= 0.52
trial=  74, traffic density= 0.10, mean velocity= 2.61, flow rate= 0.56
trial=  75, traffic density= 0.10, mean velocity= 2.59, flow rate= 0.53
trial=  76, traffic density= 0.10, mean velocity= 2.71, flow rate= 0.55
trial=  77, traffic density= 0.10, mean velocity= 2.64, flow rate= 0.54
trial=  78, traffic density= 0.10, mean velocity= 2.68, flow rate= 0.55
trial=  79, traffic density= 0.10, mean velocity= 2.57, flow rate= 0.49
trial=  80, traffic density= 0.10, mean velocity= 2.60, flow rate= 0.51
trial=  81, traffic density= 0.10, mean velocity= 2.55, flow rate= 0.54
trial=  82, traffic density= 0.10, mean velocity= 2.67, flow rate= 0.53
trial=  83, traffic density= 0.10, mean velocity= 2.58, flow rate= 0.50
trial=  84, traffic density= 0.10, mean velocity= 2.53, flow rate= 0.52
trial=  85, traffic density= 0.10, mean velocity= 2.58, flow rate= 0.53
trial=  86, traffic density= 0.10, mean velocity= 2.67, flow rate= 0.56
trial=  87, traffic density= 0.10, mean velocity= 2.82, flow rate= 0.58
trial=  88, traffic density= 0.10, mean velocity= 2.66, flow rate= 0.52
trial=  89, traffic density= 0.10, mean velocity= 2.67, flow rate= 0.54
trial=  90, traffic density= 0.10, mean velocity= 2.65, flow rate= 0.52
trial=  91, traffic density= 0.10, mean velocity= 2.60, flow rate= 0.53
trial=  92, traffic density= 0.10, mean velocity= 2.75, flow rate= 0.53
trial=  93, traffic density= 0.10, mean velocity= 2.65, flow rate= 0.55
trial=  94, traffic density= 0.10, mean velocity= 2.72, flow rate= 0.53
trial=  95, traffic density= 0.10, mean velocity= 2.61, flow rate= 0.49
trial=  96, traffic density= 0.10, mean velocity= 2.62, flow rate= 0.56
trial=  97, traffic density= 0.10, mean velocity= 2.67, flow rate= 0.52
trial=  98, traffic density= 0.10, mean velocity= 2.55, flow rate= 0.51
trial=  99, traffic density= 0.10, mean velocity= 2.78, flow rate= 0.54
clock = 0 numberOfCars = 40
Time: 0
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________

Time: 1
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________

Time: 2
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________

Time: 3
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________

Time: 4
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______

Time: 5
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__

Time: 6
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
